case_id,e1,e2,e3,t1,t2,t3,top_uz_mae_pct,top_uz_max_pct,volume_mae_pct,volume_max_pct,peak_fem_uz,peak_pinn_uz,fem_seconds,pinn_eval_seconds,n_eval_points
random_interior_000,7.4620459,5.4694568,9.2977577,0.054781324,0.031180696,0.028459079,3.309029,11.369593,2.489461,14.919004,-0.2288772918,-0.2070365434,0.027813,0.001975,405
random_interior_001,9.5052632,1.1798721,6.405578,0.028544164,0.079550404,0.097320444,2.715186,29.280001,2.130591,29.280001,-0.1231056724,-0.08706033063,0.028215,0.001357,405
random_interior_002,9.9433669,9.6923191,6.1371334,0.023497516,0.094881954,0.041952371,2.795301,27.454651,2.668014,27.454651,-0.1044928256,-0.07580468464,0.028915,0.001752,405
random_interior_003,7.9637246,1.0839748,6.6350373,0.049491284,0.056307823,0.087489431,2.713285,18.349340,2.178720,18.349340,-0.1405265027,-0.1147408171,0.028053,0.001377,405
random_interior_004,1.9547378,4.6461966,7.9831317,0.067453815,0.08645244,0.054263187,2.975010,13.251752,2.943090,22.636827,-0.1213822415,-0.1052969678,0.027896,0.002071,405
random_interior_005,5.6452648,1.4260951,7.098887,0.095134378,0.076883016,0.081551066,2.877158,38.970932,1.953076,38.970932,-0.1051220455,-0.06415500429,0.043399,0.001003,405
random_interior_006,7.9074277,7.9551409,2.9296669,0.032315555,0.044214112,0.047767235,3.207612,12.345671,2.620751,17.154144,-0.3059167738,-0.2753524207,0.025036,0.000835,405
random_interior_007,5.3672985,9.9661356,5.089864,0.020662307,0.052478186,0.097581473,2.533844,18.184611,2.519737,18.184611,-0.1124327573,-0.0919872979,0.038881,0.000981,405
