repeat,case_id,n_eval_points,fem_seconds,pinn_eval_seconds,speedup_fem_over_pinn_eval,top_uz_mae_pct,volume_mae_pct
86,one_layer_mid,2601,0.448946,0.003179,141.224272,1.721908,1.138278
86,one_layer_random_like,2601,0.483658,0.002196,220.286769,2.865557,1.507067
87,one_layer_mid,2601,0.455182,0.007265,62.649818,1.721908,1.138278
87,one_layer_random_like,2601,0.488868,0.002472,197.765518,2.865557,1.507067
88,one_layer_mid,2601,0.449436,0.002199,204.412841,1.721908,1.138278
88,one_layer_random_like,2601,0.489889,0.002837,172.683553,2.865557,1.507067
89,one_layer_mid,2601,0.463363,0.002239,206.935478,1.721908,1.138278
89,one_layer_random_like,2601,0.507473,0.001856,273.392230,2.865557,1.507067
90,one_layer_mid,2601,0.459769,0.002473,185.949841,1.721908,1.138278
90,one_layer_random_like,2601,0.500163,0.003901,128.226266,2.865557,1.507067
91,one_layer_mid,2601,0.465970,0.002543,183.233263,1.721908,1.138278
91,one_layer_random_like,2601,0.515630,0.002505,205.843732,2.865557,1.507067
92,one_layer_mid,2601,0.451347,0.002332,193.551803,1.721908,1.138278
92,one_layer_random_like,2601,0.582334,0.004475,130.118453,2.865557,1.507067
93,one_layer_mid,2601,0.488886,0.003706,131.933861,1.721908,1.138278
93,one_layer_random_like,2601,0.659955,0.002318,284.760069,2.865557,1.507067
94,one_layer_mid,2601,0.464428,0.009862,47.094508,1.721908,1.138278
94,one_layer_random_like,2601,0.504569,0.002242,225.032003,2.865557,1.507067
95,one_layer_mid,2601,0.457404,0.002189,208.979425,1.721908,1.138278
95,one_layer_random_like,2601,0.462577,0.002185,211.685578,2.865557,1.507067
96,one_layer_mid,2601,0.424334,0.002567,165.322255,1.721908,1.138278
96,one_layer_random_like,2601,0.458781,0.002703,169.759246,2.865557,1.507067
97,one_layer_mid,2601,0.414532,0.002243,184.845546,1.721908,1.138278
97,one_layer_random_like,2601,0.482980,0.002362,204.511621,2.865557,1.507067
98,one_layer_mid,2601,0.448043,0.002179,205.599219,1.721908,1.138278
98,one_layer_random_like,2601,0.465662,0.002326,200.223702,2.865557,1.507067
99,one_layer_mid,2601,0.408217,0.002189,186.471197,1.721908,1.138278
99,one_layer_random_like,2601,0.455423,0.001994,228.410965,2.865557,1.507067
