case_id,E,thickness,top_uz_mae_pct,top_uz_relative_l2_pct,top_uz_mean_abs_error,top_uz_max_pct,volume_mae_pct,volume_relative_l2_pct,volume_mean_abs_error,volume_max_pct,avg_uz_fem,avg_uz_pinn,avg_displacement_relative_error_pct,peak_fem_uz,peak_pinn_uz,fem_seconds,pinn_eval_seconds,n_eval_points
one_layer_random_000,7.4620459,0.099660631,2.043618,9.574436,0.007357957405,9.239307,1.249295,10.432717,0.004534186532,9.165639,-0.07875310879,-0.0849713917,7.963803,-0.360045645,-0.3777907774,0.475643,0.070520,2601
one_layer_random_001,9.2977577,0.093476655,2.198485,10.060070,0.007465544978,8.962198,1.291311,10.825941,0.004421486705,8.888228,-0.07429999839,-0.08105673992,9.147587,-0.3395767573,-0.3581603564,0.430066,0.002222,2601
one_layer_random_002,2.2578283,0.060573849,4.018524,16.040508,0.1670843919,12.156413,1.847627,16.469407,0.07728534464,12.083480,-0.9062974347,-1.072616065,18.608570,-4.157855015,-4.484965189,0.448257,0.002042,2601
one_layer_random_003,9.5052632,0.051998579,7.873843,33.828902,0.1124462131,26.642428,2.956426,33.566985,0.04242783721,26.512336,-0.3106321489,-0.4227388286,36.126070,-1.428098219,-1.784955755,0.357399,0.002404,2601
one_layer_random_004,6.405578,0.060680205,5.134382,20.597134,0.07492377199,15.163864,2.175669,20.716934,0.03194061782,15.072693,-0.318084997,-0.3927163383,23.597805,-1.45925584,-1.629312928,0.439272,0.002507,2601
one_layer_random_005,7.6994205,0.14665056,3.373418,15.043506,0.004621144399,11.794713,1.921746,15.483512,0.002637711711,11.771597,-0.02942033313,-0.03381249069,14.990865,-0.1369870191,-0.1421392982,0.425994,0.002524,2601
one_layer_random_006,9.9433669,0.14658132,3.678106,16.336289,0.003905674496,12.896052,2.013559,16.567902,0.002142363332,12.870632,-0.02280666917,-0.02656039425,16.513328,-0.1061871191,-0.1114457453,0.396840,0.002430,2601
one_layer_random_007,6.1371334,0.054371895,6.857786,28.767838,0.1363600265,22.147068,2.650711,28.580535,0.05298242322,22.031802,-0.4327723124,-0.5686544059,31.454183,-1.988397298,-2.385509672,0.332620,0.002121,2601
