repeat,case_id,n_eval_points,fem_seconds,pinn_eval_seconds,speedup_fem_over_pinn_eval,top_uz_mae_pct,volume_mae_pct
88,mixed_midrange,2601,0.413874,0.003335,124.098574,12.745684,5.614171
89,supervised_extreme,2601,0.477861,0.003833,124.656802,5.344635,2.590392
89,mixed_midrange,2601,0.415760,0.001984,209.609247,12.745684,5.614171
90,supervised_extreme,2601,0.468887,0.006717,69.805510,5.344635,2.590392
90,mixed_midrange,2601,0.410304,0.002448,167.590680,12.745684,5.614171
91,supervised_extreme,2601,0.458878,0.002525,181.700878,5.344635,2.590392
91,mixed_midrange,2601,0.412302,0.002450,168.312229,12.745684,5.614171
92,supervised_extreme,2601,0.470004,0.007960,59.045692,5.344635,2.590392
92,mixed_midrange,2601,0.402639,0.008795,45.781047,12.745684,5.614171
93,supervised_extreme,2601,0.469142,0.007171,65.420983,5.344635,2.590392
93,mixed_midrange,2601,0.403930,0.002629,153.648790,12.745684,5.614171
94,supervised_extreme,2601,0.498038,0.002485,200.454838,5.344635,2.590392
94,mixed_midrange,2601,0.413251,0.002696,153.304363,12.745684,5.614171
95,supervised_extreme,2601,0.477189,0.003840,124.273406,5.344635,2.590392
95,mixed_midrange,2601,0.410120,0.002756,148.832326,12.745684,5.614171
96,supervised_extreme,2601,0.495239,0.002538,195.148913,5.344635,2.590392
96,mixed_midrange,2601,0.421752,0.002340,180.223004,12.745684,5.614171
97,supervised_extreme,2601,0.474288,0.002768,171.326133,5.344635,2.590392
97,mixed_midrange,2601,0.490387,0.003398,144.318269,12.745684,5.614171
98,supervised_extreme,2601,0.508541,0.003399,149.607562,5.344635,2.590392
98,mixed_midrange,2601,0.581027,0.002636,220.458247,12.745684,5.614171
99,supervised_extreme,2601,0.466688,0.002750,169.717461,5.344635,2.590392
99,mixed_midrange,2601,0.445446,0.002633,169.177948,12.745684,5.614171
