ne_x,ne_y,ne_z,h,n_elements,peak_uz,rel_err
4,4,2,0.25,32,-0.11988992157897485,0.027850145576061046
8,8,4,0.125,256,-0.11538552475929337,0.06437488973177785
16,16,8,0.0625,2048,-0.12099081736219525,0.018923326196263204
32,32,16,0.03125,16384,-0.12332452762647103,0.0
